begintime,sk_object,duration,integrity,M51361C0,M51361C1,M51361C2,M51361C3,M51361C4
2022-03-19,358.0,16.0,1.1111111111111112,15196.0,-567.0,-75.5,0.0,956.0
2022-03-17,359.0,7.0,0.4861111111111111,6634.0,0.0,0.0,0.0,413.0
2022-03-17,361.0,6.0,0.4166666666666667,5518.0,0.0,0.0,0.0,350.0
2022-03-11,358.0,13.0,0.9027777777777778,12731.0,0.0,769100.0,3179711.0,831.0
2022-03-17,362.0,6.0,0.4166666666666667,5598.0,0.0,0.0,0.0,353.0
2022-03-17,360.0,6.0,0.4166666666666667,5680.0,0.0,0.0,0.0,352.0
2022-03-19,86707.0,4.0,0.2777777777777778,4159.0,0.0,0.0,0.0,264.0
2022-03-17,357.0,6.0,0.4166666666666667,5599.0,0.0,0.0,0.0,353.0
2022-03-12,358.0,10.0,0.6944444444444444,10400.0,-5009.0,-198.0,0.0,653.0
2022-03-17,364.0,6.0,0.4166666666666667,5679.0,0.0,0.0,0.0,353.0
2022-03-18,362.0,60.0,4.166666666666667,56826.0,-7249.0,-1097.5,1198.0,3600.0
2022-03-12,357.0,5.0,0.3472222222222222,2320.0,-39617.0,-17217.0,0.0,565.0
2022-03-15,358.0,2.0,0.1388888888888889,1920.0,0.0,0.0,0.0,123.0
2022-03-17,363.0,5.0,0.3472222222222222,4720.0,0.0,0.0,0.0,293.0
