measObjLdn,duration,begin_time,20000110.0,20000111.0,20000112.0,20000120.0,20000121.0,20000122.0,20000123.0,20000124.0,20000125.0,20000126.0,20000127.0,20000128.0,20000129.0,20000130.0,20000131.0,20000132.0,20000133.0,20000134.0,20000135.0,20000136.0
"ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=1",900.0,2021-09-26 19:15:00,0,3654,0,900,3025,0,4964,2,0,1,0,0,0,0,0,0,0,0,16712,323668
"ManagedElement=1,Equipment=1,Subrack=1,DownlinkBaseBandPool=3",900.0,2021-09-26 19:15:00,0,3304,0,900,2599,0,5157,0,0,3,0,0,0,0,0,0,0,0,17501,353363
