NE Name,fdn,BTSID,CABINETDESC,CN,IDTYPE,MOIndex,SRANMODE,TYPE,className,name,neID
FTBSC02,"NE=280,BTSCABINET=110_0",110,-,0,BYID,26_110_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=110, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=111_0",111,-,0,BYID,26_111_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=111, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=124_0",124,-,0,BYID,26_124_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=124, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=125_0",125,-,0,BYID,26_125_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=125, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=125_1",125,-,1,BYID,26_125_1,SUPPORT,RFC-6,BSC6900GSMBTSCABINET,"BTS Index=125, Cabinet No.=1",26
FTBSC02,"NE=280,BTSCABINET=103_0",103,-,0,BYID,26_103_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=103, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=198_0",198,-,0,BYID,26_198_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=198, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=159_0",159,-,0,BYID,26_159_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=159, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=142_0",142,-,0,BYID,26_142_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=142, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=168_0",168,-,0,BYID,26_168_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=168, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=160_0",160,-,0,BYID,26_160_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=160, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=152_0",152,-,0,BYID,26_152_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=152, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=187_0",187,-,0,BYID,26_187_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=187, Cabinet No.=0",26
